id,name,host_id,host_name,host_since_Year,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,accommodates,bedrooms
17011476,Cosy quiet apartment with lovely terrace,6176394,Frederique,2013,Oud-Oost,52.35843,4.91181,Entire home/apt,99,6,36,2019-10-22,4.94,4.89,4.89,4.94,5,4.71,4.77,2,1
17011879,Large family home with authentic canal view,3603865,Dany,2012,Bos en Lommer,52.37696,4.85515,Entire home/apt,275,3,35,2022-06-02,4.91,4.94,4.94,4.94,4.91,4.76,4.58,4,2
17026187,TRENDY APARTMENT 10MIN FROM THE CITY CENTRE,4853518,Esmeralda,2013,Noord-Oost,52.40303,4.93719,Entire home/apt,140,3,26,2020-02-03,5,4.96,4.81,4.96,5,4.42,4.77,4,2
17026274,Modern spacious apartment next to Vondelpark,86084716,Tom,2016,De Baarsjes - Oud-West,52.35979,4.85529,Entire home/apt,200,3,37,2022-05-22,4.92,4.94,4.69,4.89,4.83,4.4,4.54,4,2
17042462,Luxurious apartment in trendy neigbourhood,9696237,Michiel,2013,De Pijp - Rivierenbuurt,52.35645,4.89497,Entire home/apt,220,4,19,2021-09-26,4.89,4.94,4.89,4.72,4.89,4.89,4.78,2,1
17049195,Unique houseboat in the center,38150565,John,2015,Centrum-Oost,52.3726,4.90846,Entire home/apt,130,2,73,2022-05-16,4.9,4.85,4.93,4.94,4.9,4.93,4.73,2,
17050106,Independent studio with canal views,114456380,"Joost, Cristina And Lima",2017,De Baarsjes - Oud-West,52.3681,4.86398,Private room,110,4,117,2019-06-03,4.94,4.97,4.96,4.96,4.97,4.9,4.86,2,1
17083314,Luxurious Family home close to center free parking,114630975,Chanti,2017,Slotervaart,52.35455,4.83188,Entire home/apt,162,2,18,2022-05-29,4.67,4.78,4.39,4.82,4.76,4.53,4.53,3,2
17115931,Spacious & Comfortable Romantic City Loft,36039976,Romy,2015,De Baarsjes - Oud-West,52.36117,4.8616,Entire home/apt,130,4,19,2022-02-25,5,5,4.89,4.95,5,4.95,4.84,2,1
17129224,Your Island / private bathroom / sparkling clean,73702115,Kristina,2016,Oud-Noord,52.39406,4.92676,Private room,60,2,224,2022-06-05,4.82,4.85,4.84,4.95,4.96,4.61,4.74,3,1
17136286,"Top locatie in Oud West, gezellig appartement",7792631,Sophie And Egbert,2013,De Baarsjes - Oud-West,52.36944,4.86961,Entire home/apt,145,3,32,2021-12-28,4.88,4.78,4.75,4.87,4.88,4.9,4.77,2,1
17148111,<3 Lovely & Cozy Room in Amsterdam Centre <3,34785772,Patrick,2015,De Baarsjes - Oud-West,52.3675,4.86676,Private room,110,1,0,,,,,,,,,2,1
17150944,Perfect Apartment in the Heart of Amsterdam,115330332,Suzanne,2017,Centrum-Oost,52.36044,4.89438,Private room,256,2,222,2022-05-26,4.55,4.65,4.66,4.77,4.68,4.88,4.37,4,1
17162941,Sunny appartement with COLD-Jacuzzi,35696891,Rosalie,2015,Oud-Noord,52.3989,4.9164,Entire home/apt,140,2,33,2022-05-08,4.97,4.94,4.97,4.9,5,4.61,4.74,2,1
17168648,Houseboat Concordia B&B,19691946,Koen,2014,Centrum-Oost,52.36978,4.92169,Private room,124,2,7,2017-10-04,5,5,5,5,5,5,5,2,1
17173457,Cosy room in Oud West for couples and friends.,14745730,Bas,2014,De Baarsjes - Oud-West,52.36791,4.87181,Private room,100,1,221,2020-01-02,4.9,4.91,4.85,4.97,4.99,4.88,4.7,2,1
17186121,Light and modern apt with two balconies nr Jordaan,6540523,Sander,2013,De Baarsjes - Oud-West,52.36927,4.84917,Entire home/apt,110,2,4,2017-09-24,5,5,5,5,5,4.5,4.5,2,1
17229501,Watergang (omgeving Amsterdam-Noord),116047307,Marjolein,2017,Noord-Oost,52.42639,4.95008,Private room,70,2,280,2022-06-02,4.89,4.91,4.92,4.9,4.91,4.54,4.77,2,1
17236712,LUXURY FAMILY HOUSE  IN AMSTERDAM,3983732,Thomas,2012,Watergraafsmeer,52.35249,4.94138,Entire home/apt,263,4,2,2017-07-30,5,5,5,5,5,5,5,4,3
17248002,"Sunny, light and very comfortable appartment",85112679,Anna,2016,Buitenveldert - Zuidas,52.33513,4.87134,Entire home/apt,95,2,8,2019-06-09,4.88,4.88,4.75,5,5,4.88,4.75,2,1
17250492,Grand Max : luxurious canal house,39004030,Marc,2015,Centrum-Oost,52.36229,4.89544,Entire home/apt,615,2,62,2020-03-03,4.94,4.94,4.95,4.97,4.97,4.98,4.71,4,3
17252191,Studio in the city center of Amsterdam,837545,Judith,2011,Centrum-West,52.38119,4.88845,Entire home/apt,159,3,90,2020-03-16,4.98,4.98,4.97,4.97,4.97,4.98,4.92,2,1
17262983,Dreamcatcher B&B/Homestay,101176512,Greta,2016,IJburg - Zeeburgereiland,52.36501,4.98203,Private room,85,2,83,2022-05-29,4.98,4.99,4.96,5,5,4.88,4.93,3,1
17265153,30m2 Amsterdam Canal View!,21815829,Ferry & Annette,2014,Westerpark,52.38684,4.88304,Private room,95,2,282,2022-05-26,4.85,4.87,4.87,4.97,4.95,4.8,4.71,3,1
17278364,Lovely and stylish! Walking distance to citycentre,89881275,Eline,2016,Westerpark,52.37656,4.87394,Entire home/apt,210,2,19,2019-12-29,4.95,4.95,5,5,5,4.84,4.84,2,2
